TrackedTotal,Untagged,UObject,EngineMisc,Audio,Audio/AudioMixer,Textures,RenderTargets,RHI
545.05,8.74,131.72,5.28,57.41,10.57,196.65,89.6,45.08
544.79,8.77,131.72,5.18,57.39,10.63,197.01,88.82,45.27
546.34,8.77,131.66,5.31,57.36,10.59,197.9,89.85,44.91
545.2,8.36,131.81,5.19,57.41,10.56,197.0,89.4,45.45
546.26,8.48,131.77,5.37,57.44,10.6,197.54,89.84,45.22
545.65,8.82,131.78,5.38,57.35,10.56,196.95,89.67,45.15
546.53,8.9,131.66,5.3,57.46,10.53,197.72,89.71,45.24
546.75,8.37,131.66,5.27,57.42,10.59,198.26,90.06,45.11
545.22,8.52,131.71,5.26,57.38,10.57,197.39,89.22,45.17
546.21,8.98,131.78,5.27,57.38,10.59,197.69,89.5,45.03
545.25,8.54,131.76,5.29,57.47,10.48,197.29,89.16,45.26
545.64,8.78,131.66,5.27,57.44,10.55,197.32,89.43,45.19
545.84,8.52,131.77,5.33,57.45,10.59,197.28,89.67,45.23
547.04,8.95,131.64,5.21,57.39,10.53,198.09,89.8,45.42
544.78,8.38,131.67,5.36,57.42,10.53,196.99,89.34,45.08
545.52,8.73,131.73,5.24,57.41,10.59,197.53,89.1,45.18
546.18,8.98,131.63,5.23,57.39,10.62,197.91,89.48,44.95
546.45,8.92,131.64,5.29,57.4,10.55,198.16,89.21,45.28
546.28,8.7,131.85,5.3,57.44,10.58,197.92,89.29,45.2
546.23,8.66,131.83,5.17,57.46,10.58,197.67,89.66,45.2
546.02,8.75,131.9,5.24,57.39,10.53,197.42,89.61,45.18
546.42,8.54,131.76,5.14,57.35,10.64,198.17,89.71,45.11
546.05,8.78,131.77,5.23,57.47,10.58,197.27,89.36,45.58
546.04,8.79,131.71,5.23,57.47,10.58,197.28,89.77,45.21
546.83,8.72,131.69,5.29,57.42,10.6,198.38,89.47,45.25
546.33,9.01,131.79,5.23,57.47,10.53,197.89,89.38,45.03
546.09,8.6,131.83,5.24,57.41,10.63,197.91,89.13,45.33
545.64,8.47,131.79,5.35,57.37,10.63,198.01,88.84,45.18
545.64,8.71,131.66,5.4,57.35,10.6,197.66,89.0,45.27
545.63,8.84,131.76,5.22,57.35,10.61,196.99,89.53,45.34
545.99,8.8,131.66,5.33,57.4,10.58,197.84,89.19,45.19
545.57,8.79,131.7,5.3,57.38,10.62,197.7,88.97,45.1
545.04,8.6,131.86,5.17,57.38,10.56,197.28,89.34,44.85
545.34,8.63,131.63,5.23,57.4,10.59,197.17,89.55,45.15
546.14,8.73,131.9,5.09,57.44,10.59,197.69,89.59,45.1
545.28,8.72,131.77,5.29,57.38,10.59,197.04,89.46,45.03
546.48,9.05,131.69,5.21,57.37,10.63,197.64,89.45,45.42
546.21,8.89,131.73,5.28,57.38,10.68,197.58,89.31,45.35
546.11,8.73,131.67,5.43,57.44,10.59,197.66,89.66,44.93
546.69,9.06,131.68,5.37,57.4,10.61,197.92,89.42,45.23
546.43,8.93,131.73,5.23,57.41,10.56,198.03,89.45,45.08
545.99,8.57,131.7,5.22,57.47,10.63,197.36,89.78,45.26
546.24,8.2,131.65,5.35,57.52,10.57,198.16,89.71,45.09
545.81,8.58,131.71,5.22,57.43,10.72,197.61,89.42,45.12
547.2,8.97,131.62,5.34,57.43,10.53,198.6,89.37,45.35
546.26,9.03,131.63,5.44,57.36,10.68,197.43,89.37,45.33
544.73,8.52,131.63,5.32,57.42,10.63,196.92,88.87,45.43
547.27,8.99,131.86,5.35,57.41,10.55,198.14,89.8,45.17
546.4,8.98,131.76,5.34,57.44,10.69,197.94,89.27,44.99
547.51,9.14,131.78,5.25,57.39,10.56,198.33,89.73,45.34
546.79,9.05,131.73,5.3,57.41,10.58,197.88,89.49,45.35
548.19,9.13,131.77,5.22,57.43,10.54,198.9,89.89,45.3
546.58,8.96,131.83,5.36,57.48,10.59,197.63,89.63,45.1
547.04,8.96,131.76,5.21,57.47,10.59,198.25,89.75,45.05
546.12,8.8,131.86,5.32,57.46,10.63,197.47,89.3,45.29
546.38,9.03,131.73,5.35,57.44,10.69,197.98,89.09,45.08
546.35,8.61,131.78,5.25,57.39,10.57,198.07,89.52,45.16
546.49,8.85,131.79,5.24,57.44,10.48,198.15,88.9,45.64
546.89,8.98,131.66,5.27,57.38,10.62,198.12,89.34,45.53
544.66,9.16,131.74,5.23,57.4,10.57,196.11,89.12,45.33
545.84,8.78,131.59,5.29,57.48,10.67,197.7,89.23,45.11
546.25,9.08,131.72,5.23,57.43,10.59,197.45,89.66,45.1
546.27,8.84,131.71,5.23,57.42,10.56,197.55,89.64,45.32
546.54,9.08,131.71,5.31,57.42,10.55,197.59,89.43,45.43
546.71,8.73,131.7,5.32,57.4,10.62,198.23,89.58,45.13
546.28,9.04,131.78,5.26,57.32,10.58,197.84,89.32,45.14
546.65,8.87,131.66,5.18,57.36,10.65,197.48,90.21,45.22
545.49,8.66,131.88,5.35,57.43,10.59,197.0,89.57,45.0
546.74,8.87,131.78,5.26,57.37,10.65,198.51,89.3,45.01
546.38,9.16,131.67,5.41,57.4,10.54,197.42,89.74,45.03
546.47,8.7,131.79,5.28,57.36,10.53,197.68,89.85,45.29
547.04,8.61,131.82,5.29,57.38,10.63,198.81,89.25,45.25
545.87,8.98,131.77,5.26,57.41,10.58,197.43,89.06,45.38
545.23,8.57,131.66,5.3,57.45,10.59,197.61,89.12,44.95
546.77,9.22,131.92,5.49,57.45,10.56,197.86,89.28,44.98
545.89,9.22,131.79,5.26,57.38,10.55,196.94,89.47,45.28
545.13,9.12,131.64,5.36,57.42,10.62,196.88,89.0,45.08
545.86,8.91,131.76,5.29,57.35,10.6,197.51,89.36,45.09
546.6,9.25,131.72,5.36,57.41,10.56,197.52,89.42,45.36
546.7,9.19,131.74,5.17,57.45,10.63,197.82,89.58,45.13
545.99,8.81,131.64,5.4,57.41,10.64,197.26,89.67,45.15
547.07,9.21,131.74,5.31,57.46,10.59,197.97,89.61,45.18
545.65,8.74,131.67,5.27,57.44,10.64,196.67,90.02,45.18
546.77,8.89,131.71,5.34,57.42,10.56,197.72,89.82,45.32
546.18,8.57,131.77,5.3,57.4,10.62,197.93,89.55,45.03
546.17,8.96,131.7,5.22,57.39,10.6,197.92,89.2,45.19
546.0,8.87,131.72,5.14,57.35,10.57,197.67,89.29,45.39
546.11,8.84,131.81,5.4,57.36,10.68,197.42,89.06,45.53
546.11,8.9,131.67,5.27,57.45,10.61,197.66,89.54,45.01
547.04,8.82,131.69,5.25,57.47,10.58,198.37,89.59,45.26
546.22,8.95,131.64,5.26,57.37,10.6,197.46,89.76,45.19
547.25,9.2,131.68,5.38,57.41,10.56,198.25,89.57,45.2
546.88,8.73,131.75,5.26,57.35,10.55,198.33,89.81,45.1
546.23,9.12,131.79,5.33,57.37,10.58,196.89,89.81,45.33
546.15,8.99,131.68,5.27,57.42,10.58,197.7,89.18,45.32
546.19,9.02,131.79,5.21,57.39,10.57,197.27,89.34,45.59
545.55,8.95,131.75,5.34,57.34,10.65,197.01,89.49,45.02
544.41,8.81,131.63,5.36,55.65,10.57,198.16,89.28,44.95
545.14,9.04,131.76,5.25,55.58,10.56,198.0,89.42,45.52
543.53,9.06,131.84,5.29,55.54,10.55,197.89,89.58,43.77
542.22,8.8,131.59,5.3,55.59,10.55,197.22,89.46,43.71
543.31,8.69,131.91,5.32,55.58,10.64,197.87,89.49,43.81
542.19,8.98,131.7,5.41,55.6,10.61,197.11,89.21,43.57
543.49,9.12,131.61,5.27,55.57,10.63,197.8,89.65,43.83
543.26,9.17,131.76,5.27,55.6,10.64,197.44,89.63,43.77
544.01,9.21,131.81,5.28,55.62,10.59,198.29,89.27,43.94
542.8,9.05,131.72,5.24,55.53,10.66,197.59,89.11,43.91
537.39,8.92,131.77,5.19,55.56,10.58,191.58,89.87,43.92
537.79,8.98,131.92,5.3,55.62,10.56,191.59,90.02,43.81
537.02,8.73,131.76,5.33,55.56,10.62,191.43,89.57,44.02
537.09,8.84,131.99,5.29,55.58,10.61,191.52,89.39,43.87
537.08,8.97,131.85,5.29,55.57,10.27,191.62,89.81,43.7
536.12,8.93,131.75,5.24,55.57,10.31,191.02,89.64,43.66
536.71,9.0,131.77,5.31,55.56,10.27,191.67,89.44,43.68
537.12,8.71,131.72,5.3,55.53,10.28,191.91,89.79,43.87
535.87,8.5,131.77,5.16,55.6,10.32,191.67,89.26,43.58
536.14,8.89,131.8,5.15,55.63,10.28,191.3,89.29,43.8
536.14,8.57,131.72,5.15,55.58,10.29,191.56,89.61,43.66
535.71,8.61,131.64,5.21,55.62,10.21,191.3,89.54,43.59
536.5,8.76,131.86,5.17,55.57,10.42,191.42,89.69,43.62
535.84,8.56,131.83,5.16,55.56,10.2,190.88,89.86,43.78
536.58,8.97,131.64,5.03,55.6,10.25,192.17,89.04,43.9
536.95,8.5,131.77,5.19,55.6,10.25,192.45,89.51,43.68
536.31,8.75,131.83,5.11,55.58,10.35,191.13,90.07,43.47
536.88,8.6,131.83,5.14,55.61,10.24,191.87,89.32,44.25
536.81,8.79,131.7,5.06,55.54,10.29,192.21,89.29,43.95
535.33,8.66,131.83,5.26,55.57,10.25,191.0,88.83,43.92
535.31,8.75,131.75,4.98,55.63,10.23,190.4,89.54,44.03
537.65,9.01,131.78,5.22,55.63,10.29,192.24,89.68,43.8
536.25,8.63,131.68,5.16,55.62,10.24,191.48,89.68,43.76
535.37,8.63,131.41,5.02,55.63,10.28,191.23,89.19,43.99
533.67,8.7,131.69,5.26,55.57,10.29,191.51,86.65,43.99
533.79,9.06,131.8,5.17,55.52,10.35,191.3,86.72,43.88
534.84,8.75,131.74,4.99,55.58,10.22,192.97,86.67,43.92
532.97,9.02,131.81,5.11,55.61,10.26,191.22,86.33,43.6
533.72,8.74,131.84,5.17,55.62,10.27,191.65,86.68,43.75
534.41,9.01,131.73,5.24,55.57,10.27,192.14,86.41,44.04
533.75,8.86,131.72,5.11,55.55,10.37,192.14,86.1,43.91
533.74,8.89,131.58,4.98,55.55,10.26,192.04,86.86,43.57
532.78,8.5,131.63,5.22,55.57,10.17,191.28,86.7,43.71
533.33,8.47,131.65,5.17,55.51,10.26,191.42,86.84,44.02
532.4,9.0,131.8,5.0,55.57,10.27,190.41,86.5,43.85
533.86,9.0,131.73,5.16,55.59,10.26,191.46,86.85,43.81
534.28,9.28,131.72,5.16,55.59,10.24,191.51,86.97,43.82
533.94,8.5,131.71,5.12,55.58,10.22,191.87,87.19,43.77
534.61,8.89,131.7,5.09,55.56,10.36,192.4,86.91,43.71
533.67,8.59,131.83,5.1,55.57,10.28,191.85,86.78,43.66
529.39,8.65,127.57,5.12,55.57,10.26,192.03,86.25,43.94
529.42,8.7,127.64,5.16,55.62,10.36,191.49,86.63,43.82
529.55,8.88,127.38,5.19,55.59,10.24,192.14,86.24,43.89
529.09,8.67,127.6,5.01,55.72,10.3,191.51,86.42,43.87
530.61,8.81,127.52,5.15,55.58,10.22,192.07,87.25,44.0
529.71,8.98,127.54,5.17,55.61,10.3,191.9,86.36,43.86
529.23,9.04,127.67,5.15,55.58,10.23,191.7,85.96,43.91
528.92,8.95,127.53,5.12,55.58,10.29,190.73,86.91,43.81
529.9,8.91,127.6,5.23,55.65,10.35,192.05,86.46,43.65
529.74,8.79,127.48,5.22,55.63,10.28,191.69,86.9,43.75
529.15,8.71,127.57,5.12,55.52,10.19,191.86,86.32,43.88
529.42,8.93,127.44,5.14,55.55,10.27,191.66,86.54,43.89
530.02,8.61,127.56,5.19,55.59,10.29,191.75,87.03,44.01
529.69,8.85,127.59,5.22,55.57,10.31,192.16,86.27,43.72
528.93,8.61,127.65,5.09,55.53,10.33,191.27,86.62,43.82
529.6,8.82,127.5,5.08,55.6,10.34,191.74,86.76,43.77
528.7,8.62,127.52,5.16,55.52,10.27,191.12,86.45,44.03
529.57,8.75,127.51,5.07,55.6,10.25,191.8,86.74,43.85
529.28,8.7,127.54,5.03,55.62,10.23,191.64,86.67,43.85
528.95,8.68,127.49,5.09,55.63,10.25,191.2,86.83,43.78
529.8,8.82,127.39,5.17,55.59,10.29,191.56,87.22,43.76
529.23,8.36,127.48,5.24,55.65,10.22,191.23,87.47,43.57
528.73,8.48,127.56,5.1,55.61,10.24,191.33,86.81,43.6
529.77,9.01,127.55,5.14,55.63,10.3,191.69,86.64,43.82
529.71,8.88,127.61,5.15,55.56,10.25,191.65,86.8,43.8
528.37,8.7,127.63,5.11,55.65,10.29,190.56,86.6,43.82
529.35,9.05,127.53,5.1,55.59,10.24,191.7,86.2,43.93
529.11,8.73,127.44,5.16,55.66,10.29,191.37,86.66,43.81
529.36,8.74,127.6,5.07,55.65,10.25,191.31,87.0,43.74
528.12,8.7,127.57,5.1,55.6,10.2,190.96,86.23,43.76
529.55,9.24,127.55,5.13,55.61,10.31,191.5,86.38,43.83
529.07,8.91,127.67,5.17,55.59,10.25,191.26,86.5,43.74
530.29,8.9,127.61,5.06,55.56,10.27,192.16,86.79,43.95
529.37,8.96,127.58,5.14,55.62,10.25,190.65,87.39,43.79
528.37,8.5,127.58,5.07,55.62,10.3,191.04,86.43,43.83
528.7,8.75,127.64,5.11,55.53,10.29,191.01,86.7,43.67
529.85,8.96,127.52,5.19,55.59,10.3,191.66,86.68,43.95
530.11,8.87,127.5,5.14,55.63,10.26,192.11,86.59,44.01
530.08,9.32,127.55,5.25,55.65,10.28,191.78,86.66,43.59
528.68,8.77,127.48,5.14,55.62,10.29,190.98,86.54,43.85
530.31,9.07,127.57,5.21,55.54,10.34,191.31,87.5,43.78
529.53,9.04,127.58,5.2,55.55,10.29,191.13,86.9,43.84
529.64,8.91,127.57,5.15,55.58,10.24,191.78,86.54,43.86
529.31,8.95,127.54,5.07,55.65,10.29,191.31,87.04,43.46
529.01,8.83,127.71,5.14,55.57,10.27,190.83,86.76,43.91
529.58,8.49,127.65,5.12,55.64,10.2,191.83,86.7,43.96
530.19,8.96,127.57,5.12,55.57,10.2,192.17,86.63,43.98
529.32,8.98,127.58,5.16,55.62,10.28,191.44,86.61,43.65
529.3,9.01,127.68,5.06,55.56,10.28,191.6,86.32,43.79
528.07,8.91,127.53,5.1,55.59,10.27,190.78,86.18,43.72
528.36,9.09,127.5,5.09,55.55,10.31,190.51,86.79,43.51
528.3,8.73,127.59,5.14,55.66,10.24,190.61,86.63,43.7
529.8,9.2,127.61,5.1,55.57,10.22,191.52,86.95,43.63
528.86,8.71,127.61,5.11,55.54,10.25,191.38,86.42,43.85
529.2,8.89,127.64,5.16,55.53,10.26,191.81,86.36,43.55
529.57,9.05,127.52,5.13,55.59,10.28,191.44,86.92,43.65
529.6,8.81,127.46,5.15,55.58,10.25,192.03,86.6,43.72
530.33,9.06,127.53,5.09,55.62,10.19,191.98,86.94,43.91
529.63,8.85,127.62,5.1,55.59,10.18,191.38,86.7,44.21
529.79,8.94,127.5,5.28,55.65,10.29,191.04,87.25,43.84
528.38,8.88,127.42,5.11,55.58,10.24,190.59,86.91,43.64
530.03,8.81,127.59,5.03,55.64,10.2,192.26,86.81,43.7
529.85,9.37,127.53,5.17,55.56,10.31,191.07,86.93,43.9
528.19,8.76,127.44,5.11,55.54,10.34,190.8,86.61,43.6
528.84,8.47,127.58,5.17,55.57,10.28,191.61,86.2,43.96
528.75,8.77,127.55,5.15,55.55,10.29,190.8,86.8,43.84
530.37,8.96,127.71,5.19,55.55,10.29,191.61,87.27,43.78
528.33,8.86,127.59,5.15,55.62,10.19,191.38,86.0,43.55
